digital_version_id,work_id,provider,provider_record_id,format,canonical_landing_url,direct_file_url,reading_capability,viewer_strategy,download_capability,rights_status,local_storage_recommendation,ingestion_priority,ocr_quality
openiti_dv_0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1,openiti_work_0001HarithIbnHilliza.Diwan,OpenITI / KITAB Project,0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001HarithIbnHilliza/0001HarithIbnHilliza.Diwan/0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001HarithIbnHilliza/0001HarithIbnHilliza.Diwan/0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,openiti_work_0001HarithIbnHilliza.Mucallaqa,OpenITI / KITAB Project,0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001HarithIbnHilliza/0001HarithIbnHilliza.Mucallaqa/0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001HarithIbnHilliza/0001HarithIbnHilliza.Mucallaqa/0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001HatimTai.Diwan.JK007514-ara1,openiti_work_0001HatimTai.Diwan,OpenITI / KITAB Project,0001HatimTai.Diwan.JK007514-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001HatimTai/0001HatimTai.Diwan/0001HatimTai.Diwan.JK007514-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001HatimTai/0001HatimTai.Diwan/0001HatimTai.Diwan.JK007514-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001HatimTai.Diwan.ShamAY0037913-ara1,openiti_work_0001HatimTai.Diwan,OpenITI / KITAB Project,0001HatimTai.Diwan.ShamAY0037913-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001HatimTai/0001HatimTai.Diwan/0001HatimTai.Diwan.ShamAY0037913-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001HatimTai/0001HatimTai.Diwan/0001HatimTai.Diwan.ShamAY0037913-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001ImruQaysIbnHujr.Diwan.JK007512-ara1,openiti_work_0001ImruQaysIbnHujr.Diwan,OpenITI / KITAB Project,0001ImruQaysIbnHujr.Diwan.JK007512-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001ImruQaysIbnHujr/0001ImruQaysIbnHujr.Diwan/0001ImruQaysIbnHujr.Diwan.JK007512-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001ImruQaysIbnHujr/0001ImruQaysIbnHujr.Diwan/0001ImruQaysIbnHujr.Diwan.JK007512-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,openiti_work_0001ImruQaysIbnHujr.Diwan,OpenITI / KITAB Project,0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001ImruQaysIbnHujr/0001ImruQaysIbnHujr.Diwan/0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001ImruQaysIbnHujr/0001ImruQaysIbnHujr.Diwan/0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001LaqitIbnYacmur.Diwan.JK007528-ara1,openiti_work_0001LaqitIbnYacmur.Diwan,OpenITI / KITAB Project,0001LaqitIbnYacmur.Diwan.JK007528-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001LaqitIbnYacmur/0001LaqitIbnYacmur.Diwan/0001LaqitIbnYacmur.Diwan.JK007528-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001LaqitIbnYacmur/0001LaqitIbnYacmur.Diwan/0001LaqitIbnYacmur.Diwan.JK007528-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1,openiti_work_0001LaqitIbnYacmur.Diwan,OpenITI / KITAB Project,0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001LaqitIbnYacmur/0001LaqitIbnYacmur.Diwan/0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001LaqitIbnYacmur/0001LaqitIbnYacmur.Diwan/0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001MuhalhilIbnRabica.Diwan.JK007529-ara1,openiti_work_0001MuhalhilIbnRabica.Diwan,OpenITI / KITAB Project,0001MuhalhilIbnRabica.Diwan.JK007529-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001MuhalhilIbnRabica/0001MuhalhilIbnRabica.Diwan/0001MuhalhilIbnRabica.Diwan.JK007529-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001MuhalhilIbnRabica/0001MuhalhilIbnRabica.Diwan/0001MuhalhilIbnRabica.Diwan.JK007529-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
openiti_dv_0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1,openiti_work_0001MuhalhilIbnRabica.Diwan,OpenITI / KITAB Project,0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1,TXT_MARKDOWN,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001MuhalhilIbnRabica/0001MuhalhilIbnRabica.Diwan/0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001MuhalhilIbnRabica/0001MuhalhilIbnRabica.Diwan/0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,P1,NOT_OCR_FLAGGED_BY_PROVIDER
