manuscript_id,work_id,record_type,institution,collection,shelfmark,catalog_title,catalog_url,digitized_url,iiif_manifest,folio_count,date,place,scribe,material,script,language,description,rights_statement,rights_url,download_allowed,local_hosting_allowed,attribution,image_resolution,ocr_available,rights_status,ingestion_priority,transcription_url
openiti_mss_MS0093KabulANA.Firuzkuh48.IEDC0141-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 48,,https://www.invisible-east.org/corpus/141/,https://www.invisible-east.org/corpus/141/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh48.IEDC0141-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh48/MS0093KabulANA.Firuzkuh48.IEDC0141-per1
openiti_mss_MS0093KabulANA.Firuzkuh49.IEDC0142-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 49,,https://www.invisible-east.org/corpus/142/,https://www.invisible-east.org/corpus/142/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh49.IEDC0142-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh49/MS0093KabulANA.Firuzkuh49.IEDC0142-per1
openiti_mss_MS0093KabulANA.Firuzkuh5.IEDC0109-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 5,,https://www.invisible-east.org/corpus/109/,https://www.invisible-east.org/corpus/109/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh5.IEDC0109-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh5/MS0093KabulANA.Firuzkuh5.IEDC0109-per1
openiti_mss_MS0093KabulANA.Firuzkuh50.IEDC0143-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 50,,https://www.invisible-east.org/corpus/143/,https://www.invisible-east.org/corpus/143/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh50.IEDC0143-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh50/MS0093KabulANA.Firuzkuh50.IEDC0143-per1
openiti_mss_MS0093KabulANA.Firuzkuh51.IEDC0264-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 51,,https://www.invisible-east.org/corpus/264/,https://www.invisible-east.org/corpus/264/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh51.IEDC0264-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh51/MS0093KabulANA.Firuzkuh51.IEDC0264-per1
openiti_mss_MS0093KabulANA.Firuzkuh52.IEDC0237-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 52,,https://www.invisible-east.org/corpus/237/,https://www.invisible-east.org/corpus/237/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh52.IEDC0237-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh52/MS0093KabulANA.Firuzkuh52.IEDC0237-per1
openiti_mss_MS0093KabulANA.Firuzkuh53.IEDC1154-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 53,,https://www.invisible-east.org/corpus/1154/,https://www.invisible-east.org/corpus/1154/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh53.IEDC1154-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh53/MS0093KabulANA.Firuzkuh53.IEDC1154-per1
openiti_mss_MS0093KabulANA.Firuzkuh54.IEDC0238-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 54,,https://www.invisible-east.org/corpus/238/,https://www.invisible-east.org/corpus/238/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh54.IEDC0238-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh54/MS0093KabulANA.Firuzkuh54.IEDC0238-per1
openiti_mss_MS0093KabulANA.Firuzkuh55.IEDC0239-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 55,,https://www.invisible-east.org/corpus/239/,https://www.invisible-east.org/corpus/239/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh55.IEDC0239-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh55/MS0093KabulANA.Firuzkuh55.IEDC0239-per1
openiti_mss_MS0093KabulANA.Firuzkuh56.IEDC0240-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 56,,https://www.invisible-east.org/corpus/240/,https://www.invisible-east.org/corpus/240/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh56.IEDC0240-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh56/MS0093KabulANA.Firuzkuh56.IEDC0240-per1
openiti_mss_MS0093KabulANA.Firuzkuh57.IEDC1155-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 57,,https://www.invisible-east.org/corpus/1155/,https://www.invisible-east.org/corpus/1155/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh57.IEDC1155-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh57/MS0093KabulANA.Firuzkuh57.IEDC1155-per1
