work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0001TarafaIbnCabd.Diwan,ديوان طرفة بن العبد,Diwan,,Tarafa Ibn Cabd,طرفة بن العبد,Tarafa Ibn Cabd,0001,P-اللغة العربية,لغة,لغة,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001TufaylGhanawi.Diwan,ديوان طفيل الغنوي,Diwan,,Tufayl Ghanawi,طفيل الغنوي,Tufayl Ghanawi,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001ZuhayrIbnAbiSulma.Diwan,ديوان زهير بن أبي سلمى,Diwan,,Zuhayr Ibn Abi Sulma,زهير بن أبي سلمى,Zuhayr Ibn Abi Sulma,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001ZuhayrIbnAbiSulma.Mucallaqa,معلقة زهير بن أبي سلمى,Mucallaqa,,Zuhayr Ibn Abi Sulma,زهير بن أبي سلمى,Zuhayr Ibn Abi Sulma,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0005Hadira.Diwan,ديوان الحادرة,Diwan,,Hadira,الحادرة,Hadira,0005,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0005AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0007MaymunIbnQaysAcsha.Diwan,ديوان الأعشى,Diwan,,Maymun Ibn Qays Acsha,الأعشى,Maymun Ibn Qays Acsha,0007,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0007AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0011CamirIbnTufayl.Diwan,ديوان عامر بن الطفيل,Diwan,,Camir Ibn Tufayl,عامر بن الطفيل,Camir Ibn Tufayl,0011,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0011AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0021CamrZubaydi.Diwan,ديوان عمرو بن معدي كرب,Diwan,,Camr Zubaydi,عمرو بن معدي كرب,Camr Zubaydi,0021,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0021AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0022ShammakhIbnDirar.Diwan,ديوان الشماخ بن ضرار,Diwan,,Shammakh Ibn Dirar,الشماخ بن ضرار,Shammakh Ibn Dirar,0022,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0022AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0024TumadirBinCamrKhansa.Diwan,ديوان الخنساء,Diwan,,Tumadir Bin Camr Khansa,الخنساء,Tumadir Bin Camr Khansa,0024,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0024AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0026KacbIbnZuhayr.Diwan,ديوان كعب بن زهير,Diwan,,Kacb Ibn Zuhayr,كعب بن زهير,Kacb Ibn Zuhayr,0026,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0026AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0030CurwaIbnHizam.Diwan,ديوان عروة بن حزام,Diwan,,Curwa Ibn Hizam,عروة بن حزام,Curwa Ibn Hizam,0030,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0030AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0037IbnMuqbil.Diwan,ديوان ابن مقبل,Diwan,,Ibn Muqbil,ابن مقبل,Ibn Muqbil,0037,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0037AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0040CaliIbnAbiTalib.Diwan,ديوان علي بن أبي طالب,Diwan,,Cali Ibn Abi Talib,علي بن أبي طالب,Cali Ibn Abi Talib,0040,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0040AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0041LabidIbnRabica.Diwan,ديوان لبيد بن ربيعة العامري,Diwan,,Labid Ibn Rabica,لبيد بن ربيعة العامري,Labid Ibn Rabica,0041,P-اللغة العربية,لغة,لغة,d.0041AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0041LabidIbnRabica.Mucallaqa,معلقة لبيد بن ربيعة,Mucallaqa,معلقة لبيد بن ربيعة,Labid Ibn Rabica,لبيد بن ربيعة,Labid Ibn Rabica,0041,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0041AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0045JarwalIbnAwsHutaya.Diwan,ديوان الحطيئة,Diwan,,Jarwal Ibn Aws Hutaya,الحطيئة,Jarwal Ibn Aws Hutaya,0045,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0045AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0050KhirniqBintBadr.Diwan,ديوان الخرنق بنت بدر,Diwan,,Khirniq Bint Badr,الخرنق بنت بدر,Khirniq Bint Badr,0050,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0050AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0054HassanIbnThabit.Diwan,ديوان حسان بن ثابت,Diwan,,Hassan Ibn Thabit,حسان بن ثابت,Hassan Ibn Thabit,0054,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0054AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0060MucawiyaIbnAbiSufyan.Diwan,ديوان معاوية بن أبي سفيان,Diwan,,Mucawiya Ibn Abi Sufyan,معاوية بن أبي سفيان,Mucawiya Ibn Abi Sufyan,0060,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0060AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
