duplicate_group_id,work_id,version_count,digital_version_ids,duplicate_basis
dup_openiti_work_0024TumadirBinCamrKhansa.Diwan,openiti_work_0024TumadirBinCamrKhansa.Diwan,2,"[""openiti_dv_0024TumadirBinCamrKhansa.Diwan.JK007532-ara1"",""openiti_dv_0024TumadirBinCamrKhansa.Diwan.ShamAY0037828-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0026KacbIbnZuhayr.Diwan,openiti_work_0026KacbIbnZuhayr.Diwan,2,"[""openiti_dv_0026KacbIbnZuhayr.Diwan.JK007537-ara1"",""openiti_dv_0026KacbIbnZuhayr.Diwan.ShamAY0037833-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0030CurwaIbnHizam.Diwan,openiti_work_0030CurwaIbnHizam.Diwan,2,"[""openiti_dv_0030CurwaIbnHizam.Diwan.JK007555-ara1"",""openiti_dv_0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0037IbnMuqbil.Diwan,openiti_work_0037IbnMuqbil.Diwan,2,"[""openiti_dv_0037IbnMuqbil.Diwan.JK007530-ara1"",""openiti_dv_0037IbnMuqbil.Diwan.ShamAY0037879-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0040CaliIbnAbiTalib.Diwan,openiti_work_0040CaliIbnAbiTalib.Diwan,2,"[""openiti_dv_0040CaliIbnAbiTalib.Diwan.JK007540-ara1"",""openiti_dv_0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0041LabidIbnRabica.Diwan,openiti_work_0041LabidIbnRabica.Diwan,2,"[""openiti_dv_0041LabidIbnRabica.Diwan.JK007538-ara2"",""openiti_dv_0041LabidIbnRabica.Diwan.Shamela0035077-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0045JarwalIbnAwsHutaya.Diwan,openiti_work_0045JarwalIbnAwsHutaya.Diwan,2,"[""openiti_dv_0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1"",""openiti_dv_0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0050KhirniqBintBadr.Diwan,openiti_work_0050KhirniqBintBadr.Diwan,2,"[""openiti_dv_0050KhirniqBintBadr.Diwan.JK007506-ara1"",""openiti_dv_0050KhirniqBintBadr.Diwan.ShamAY0037827-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0054HassanIbnThabit.Diwan,openiti_work_0054HassanIbnThabit.Diwan,2,"[""openiti_dv_0054HassanIbnThabit.Diwan.JK007534-ara1"",""openiti_dv_0054HassanIbnThabit.Diwan.ShamAY0037912-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0060MucawiyaIbnAbiSufyan.Diwan,openiti_work_0060MucawiyaIbnAbiSufyan.Diwan,2,"[""openiti_dv_0060MucawiyaIbnAbiSufyan.Diwan.JK007541-ara1"",""openiti_dv_0060MucawiyaIbnAbiSufyan.Diwan.Sham19Y0149482-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0068CabdAllahIbnCabbas.GharibQuran,openiti_work_0068CabdAllahIbnCabbas.GharibQuran,2,"[""openiti_dv_0068CabdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1"",""openiti_dv_0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0068QaysIbnDharihLubna.Diwan,openiti_work_0068QaysIbnDharihLubna.Diwan,2,"[""openiti_dv_0068QaysIbnDharihLubna.Diwan.JK007557-ara1"",""openiti_dv_0068QaysIbnDharihLubna.Diwan.ShamAY0037908-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0068QaysMajnunLayla.Diwan,openiti_work_0068QaysMajnunLayla.Diwan,2,"[""openiti_dv_0068QaysMajnunLayla.Diwan.JK007560-ara1"",""openiti_dv_0068QaysMajnunLayla.Diwan.ShamAY0037853-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0080LaylaAkhyaliyya.Diwan,openiti_work_0080LaylaAkhyaliyya.Diwan,3,"[""openiti_dv_0080LaylaAkhyaliyya.Diwan.JK007559-ara1"",""openiti_dv_0080LaylaAkhyaliyya.Diwan.Sham19Y0149874-ara1"",""openiti_dv_0080LaylaAkhyaliyya.Diwan.ShamAY0037836-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0080UqayshirAsadi.Diwan,openiti_work_0080UqayshirAsadi.Diwan,2,"[""openiti_dv_0080UqayshirAsadi.Diwan.JK007539-ara1"",""openiti_dv_0080UqayshirAsadi.Diwan.ShamAY0037940-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0082JamilButhayna.Diwan,openiti_work_0082JamilButhayna.Diwan,2,"[""openiti_dv_0082JamilButhayna.Diwan.JK007550-ara1"",""openiti_dv_0082JamilButhayna.Diwan.ShamAY0037931-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0090AkhtalShacir.Diwan,openiti_work_0090AkhtalShacir.Diwan,2,"[""openiti_dv_0090AkhtalShacir.Diwan.JK007544-ara1"",""openiti_dv_0090AkhtalShacir.Diwan.ShamAY0037927-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0090RaciNumayriShacir.Diwan,openiti_work_0090RaciNumayriShacir.Diwan,2,"[""openiti_dv_0090RaciNumayriShacir.Diwan.JK007545-ara1"",""openiti_dv_0090RaciNumayriShacir.Diwan.ShamAY0037882-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0090WaddahYaman.Diwan,openiti_work_0090WaddahYaman.Diwan,2,"[""openiti_dv_0090WaddahYaman.Diwan.JK007562-ara1"",""openiti_dv_0090WaddahYaman.Diwan.ShamAY0037963-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0093IbnAbiRabica.Diwan,openiti_work_0093IbnAbiRabica.Diwan,2,"[""openiti_dv_0093IbnAbiRabica.Diwan.JK007556-ara1"",""openiti_dv_0093IbnAbiRabica.Diwan.ShamAY0037902-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0095CadiIbnRiqac.Diwan,openiti_work_0095CadiIbnRiqac.Diwan,2,"[""openiti_dv_0095CadiIbnRiqac.Diwan.JK007553-ara1"",""openiti_dv_0095CadiIbnRiqac.Diwan.ShamAY0037957-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0104MujahidIbnJabr.Tafsir,openiti_work_0104MujahidIbnJabr.Tafsir,5,"[""openiti_dv_0104MujahidIbnJabr.Tafsir.JK000459-ara1"",""openiti_dv_0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1"",""openiti_dv_0104MujahidIbnJabr.Tafsir.Shamela0012810-ara2"",""openiti_dv_0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1"",""openiti_dv_0104MujahidIbnJabr.Tafsir.Tafsir02078-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0105AhwasAnsari.Diwan,openiti_work_0105AhwasAnsari.Diwan,2,"[""openiti_dv_0105AhwasAnsari.Diwan.JK007543-ara1"",""openiti_dv_0105AhwasAnsari.Diwan.ShamAY0037939-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0105KuthayyirCazza.Diwan,openiti_work_0105KuthayyirCazza.Diwan,2,"[""openiti_dv_0105KuthayyirCazza.Diwan.JK007558-ara1"",""openiti_dv_0105KuthayyirCazza.Diwan.ShamAY0037909-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0110Farazdaq.Diwan,openiti_work_0110Farazdaq.Diwan,2,"[""openiti_dv_0110Farazdaq.Diwan.JK007547-ara1"",""openiti_dv_0110Farazdaq.Diwan.ShamAY0037829-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0110HasanBasri.FadailMakka,openiti_work_0110HasanBasri.FadailMakka,3,"[""openiti_dv_0110HasanBasri.FadailMakka.JK000644-ara1"",""openiti_dv_0110HasanBasri.FadailMakka.Shamela0005722-ara1"",""openiti_dv_0110HasanBasri.FadailMakka.Shia003454-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,4,"[""openiti_dv_0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2"",""openiti_dv_0110IbnSirin.MuntakhabKalamFiTafsirAhlam.ShamAY0034790-ara1"",""openiti_dv_0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shamela0021615-ara1"",""openiti_dv_0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shia004640Vols-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0110JarirShacir.Diwan,openiti_work_0110JarirShacir.Diwan,3,"[""openiti_dv_0110JarirShacir.Diwan.JK007549-ara1"",""openiti_dv_0110JarirShacir.Diwan.Sham19Y0133412-ara1"",""openiti_dv_0110JarirShacir.Diwan.ShamAY0037926-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0117DhuRumma.Diwan,openiti_work_0117DhuRumma.Diwan,2,"[""openiti_dv_0117DhuRumma.Diwan.JK007551-ara1"",""openiti_dv_0117DhuRumma.Diwan.ShamAY0037932-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,3,"[""openiti_dv_0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1"",""openiti_dv_0117IbnDicamaSadusi.NasikhWaMansukh.Shamela0008491-ara1"",""openiti_dv_0117IbnDicamaSadusi.NasikhWaMansukh.Shia002458-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0122ZaydIbnCali.MansikHajj,openiti_work_0122ZaydIbnCali.MansikHajj,2,"[""openiti_dv_0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1"",""openiti_dv_0122ZaydIbnCali.MansikHajj.Zaydiyya0000269-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0122ZaydIbnCali.Musnad,openiti_work_0122ZaydIbnCali.Musnad,3,"[""openiti_dv_0122ZaydIbnCali.Musnad.Shia000811-ara1"",""openiti_dv_0122ZaydIbnCali.Musnad.Zaydiyya0000052-ara1"",""openiti_dv_0122ZaydIbnCali.Musnad.Zaydiyya0000056-ara2""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0122ZaydIbnCali.TafsirGharibQuran,openiti_work_0122ZaydIbnCali.TafsirGharibQuran,2,"[""openiti_dv_0122ZaydIbnCali.TafsirGharibQuran.Tafsir05089-ara1"",""openiti_dv_0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0124IbnShihabZuhri.TanzilQuran,openiti_work_0124IbnShihabZuhri.TanzilQuran,3,"[""openiti_dv_0124IbnShihabZuhri.TanzilQuran.JK000872-ara2"",""openiti_dv_0124IbnShihabZuhri.TanzilQuran.ShamAY0034089-ara1"",""openiti_dv_0124IbnShihabZuhri.TanzilQuran.Shamela0026887-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0125NabighaShaybani.Diwan,openiti_work_0125NabighaShaybani.Diwan,2,"[""openiti_dv_0125NabighaShaybani.Diwan.JK007548-ara1"",""openiti_dv_0125NabighaShaybani.Diwan.ShamAY0037897-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0125Tirimmah.Diwan,openiti_work_0125Tirimmah.Diwan,2,"[""openiti_dv_0125Tirimmah.Diwan.JK007546-ara1"",""openiti_dv_0125Tirimmah.Diwan.ShamAY0037894-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0130CurwaIbnUdhayna.Diwan,openiti_work_0130CurwaIbnUdhayna.Diwan,2,"[""openiti_dv_0130CurwaIbnUdhayna.Diwan.JK007554-ara1"",""openiti_dv_0130CurwaIbnUdhayna.Diwan.ShamAY0037958-ara1""]",Same OpenITI work URI; retain versions separately.
