person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
openiti_person_1053MuhammadQasimFirishta,فرشت محمد قاسم هندو شاه أستربادي,Muhammad Qasim Firishta,,,Firišta Muḥammad Qāsim Hindū Šāh Astarabādī,,1053,,,OpenITI date code 1053,,"[""author""]",[],[],[],1,[],,,,1053MuhammadQasimFirishta,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1055AhmadSharafi,شمس الدين الشرفي,Ahmad Sharafi,,,Šams al-Dīn al-Šarafī,,1055,,,OpenITI date code 1055,,"[""author""]",[],[],[],3,[],,,,1055AhmadSharafi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1057IbnCallan,محمد علي بن محمد بن علان بن إبراهيم البكري الصديقي الشافعي (المتوفى: 1057هـ),Ibn Callan,,,,,1057,,,OpenITI date code 1057,,"[""author""]",[],[],[],4,[],,,,1057IbnCallan,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1058CabdFattahFumani,عبد الفتاح فوماني,Cabd Fattah Fumani,,,ʿAbd al-Fattāḥ Fūmānī,,1058,,,OpenITI date code 1058,,"[""author""]",[],[],[],1,[],,,,1058CabdFattahFumani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1058QadizadaKarahrudi,قاضي زاده كرهرودي,Qadizada Karahrudi,,,Qāḍī Zādah Karahrūdī,,1058,,,OpenITI date code 1058,,"[""author""]",[],[],[],1,[],,,,1058QadizadaKarahrudi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1060IbnQaysar,ابن قيصر,Ibn Qaysar,,,Ibn Qayṣar,,1060,,,OpenITI date code 1060,,"[""author""]",[],[],[],1,[],,,,1060IbnQaysar,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1060IbrahimBathnawi,ابراهيم البثنوي,Ibrahim Bathnawi,,,Ibrāhīm al-Baṯnawī,,1060,,,OpenITI date code 1060,,"[""author""]",[],[],[],1,[],,,,1060IbrahimBathnawi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1061AhmadHabisYamani,القاضي العلامة أحمد بن يحيى حابس رضي الله تعالى عنه,Ahmad Habis Yamani,,,,,1061,,,OpenITI date code 1061,,"[""author""]",[],[],[],2,[],,,,1061AhmadHabisYamani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1061CabdNabiFakhrZamani,عبد النبي فخر زماني,Cabd Nabi Fakhr Zamani,,,ʿAbd al-Nabī Faḫr Zamānī,,1061,,,OpenITI date code 1061,,"[""author""]",[],[],[],1,[],,,,1061CabdNabiFakhrZamani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1061IbnMullaFarrukhRumi,محمد بن عبد العظيم المكي الرومي الموري الحنفي,Ibn Mulla Farrukh Rumi,,,,,1061,,,OpenITI date code 1061,,"[""author""]",[],[],[],1,[],,,,1061IbnMullaFarrukhRumi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
