edition_id,work_id,edition_title,publisher,publication_city,publication_country,publication_year,edition_number,volume_count,editor,reviewer,translator,isbn,series,print_notes,bibliographic_record_url
openiti_edition_JK006875,openiti_work_1206IbnCabdWahhab.MufidMustafid,مفيد المستفيد في كفر تارك التوحيد,,,,,,,,,,,,فضيلة الشيخ إسماعيل بن محمد الأنصاري . :: الرياض :: مطابع الرياض,
openiti_edition_Shamela0012078,openiti_work_1206IbnCabdWahhab.MufidMustafid,مفيد المستفيد في كفر تارك التوحيد,,,,,,,,,,,,إسماعيل بن محمد الأنصاري :: جامعة الأمام محمد بن سعود، الرياض، المماكة العريبة السعودية,
openiti_edition_JK006878,openiti_work_1206IbnCabdWahhab.MukhtasarInsaf,مختصر الإنصاف والشرح الكبير,,,,,,,,,,,,عبد العزيز بن زيد الرومي ، د . محمد بلتاجي ، د . سيد حجاب :: الرياض :: مطابع الرياض,
openiti_edition_Shamela0001685,openiti_work_1206IbnCabdWahhab.MukhtasarInsaf,مختصر الإنصاف والشرح الكبير,,,,,,,,,,,,عبد العزيز بن زيد الرومي، د. محمد بلتاجي، د. سيد حجاب :: مطابع الرياض - الرياض,
openiti_edition_JK006886,openiti_work_1206IbnCabdWahhab.MukhtasarSira,مختصر السيرة,,,,,,,,,,,,عبد العزيز بن زيد الرومي ، د . محمد بلتاجي ، د . سيد حجاب . :: الرياض :: مطابع الرياض,
openiti_edition_ShamAY0034441,openiti_work_1206IbnCabdWahhab.MukhtasarSira,مختصر السيرة,,,,,,,,,,,,الطبعة الأولى 1417ه 1997م :: دار الفيحاء دمشق دار السلام الرياض,
openiti_edition_ShamAY0034442,openiti_work_1206IbnCabdWahhab.MukhtasarSira,مختصر السيرة,,,,,,,,,,,,عبد العزيز بن زيد الرومي ، د . محمد بلتاجي ، د . سيد حجاب :: الرياض :: مطابع الرياض,
openiti_edition_Shamela0031465,openiti_work_1206IbnCabdWahhab.MukhtasarSira,مختصر السيرة,,,,,,,,,,,,وزارة الشئون الإسلامية والأوقاف والدعوة والإرشاد - المملكة العربية السعودية,
openiti_edition_JK006893,openiti_work_1206IbnCabdWahhab.MukhtasarTafsirSuratAnfal,مختصر تفسير سورة الأنفال,,,,,,,,,,,,تحقيق د . ناصر بن سعد الرشيد :: الرياض :: مطابع الرياض,
openiti_edition_Shamela0011383,openiti_work_1206IbnCabdWahhab.MukhtasarTafsirSuratAnfal,مختصر تفسير سورة الأنفال,,,,,,,,,,,,ناصر بن سعد الرشيد :: جامعة الإمام محمد بن سعود، الرياض، المملكة العربية السعودية,
