person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
0045JarwalIbnAwsHutaya,الحطيئة,Jarwal Ibn Aws Hutaya,NULL,NULL,NULL,NULL,0045,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0045JarwalIbnAwsHutaya,OpenITI 2025.1.9
0050KhirniqBintBadr,الخرنق بنت بدر,Khirniq Bint Badr,NULL,NULL,NULL,NULL,0050,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0050KhirniqBintBadr,OpenITI 2025.1.9
0054HassanIbnThabit,حسان بن ثابت,Hassan Ibn Thabit,NULL,NULL,NULL,NULL,0054,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0054HassanIbnThabit,OpenITI 2025.1.9
0060MucawiyaIbnAbiSufyan,معاوية بن أبي سفيان,Mucawiya Ibn Abi Sufyan,NULL,NULL,NULL,NULL,0060,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0060MucawiyaIbnAbiSufyan,OpenITI 2025.1.9
0060SuwaydIbnAbiKahil,ابن أبي كاهل,Suwayd Ibn Abi Kahil,NULL,NULL,NULL,NULL,0060,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0060SuwaydIbnAbiKahil,OpenITI 2025.1.9
0063AbuDihbilJumahi,أبو دهبل الجمحي,Abu Dihbil Jumahi,NULL,NULL,NULL,NULL,0063,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0063AbuDihbilJumahi,OpenITI 2025.1.9
0068CabdAllahIbnCabbas,عن الصحابي عبد الله بن عباس بن عبد المطلب القرشي الهاشمي، أبو العباس (المتوفى: 68هـ) - رضي الله عنهما,Cabd Allah Ibn Cabbas,NULL,NULL,NULL,NULL,0068,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0068CabdAllahIbnCabbas,OpenITI 2025.1.9
0068QaysIbnDharihLubna,قيس لبنى,Qays Ibn Dharih Lubna,NULL,NULL,NULL,NULL,0068,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0068QaysIbnDharihLubna,OpenITI 2025.1.9
0068QaysMajnunLayla,مجنون ليلى,Qays Majnun Layla,NULL,NULL,NULL,NULL,0068,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0068QaysMajnunLayla,OpenITI 2025.1.9
0080LaylaAkhyaliyya,ليلى الأخيلية,Layla Akhyaliyya,NULL,NULL,NULL,NULL,0080,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0080LaylaAkhyaliyya,OpenITI 2025.1.9
0080UqayshirAsadi,الأقيشر السعدي,Uqayshir Asadi,NULL,NULL,NULL,NULL,0080,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0080UqayshirAsadi,OpenITI 2025.1.9
0082JamilButhayna,جميل بثينة,Jamil Buthayna,NULL,NULL,NULL,NULL,0082,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0082JamilButhayna,OpenITI 2025.1.9
0085SulaymIbnQaysHilali,تحقيق محمد باقر الأنصاري,Sulaym Ibn Qays Hilali,NULL,NULL,NULL,NULL,0085,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0085SulaymIbnQaysHilali,OpenITI 2025.1.9
0090AkhtalShacir,الأخطل,Akhtal Shacir,NULL,NULL,NULL,NULL,0090,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0090AkhtalShacir,OpenITI 2025.1.9
0090RaciNumayriShacir,الراعي النميري,Raci Numayri Shacir,NULL,NULL,NULL,NULL,0090,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0090RaciNumayriShacir,OpenITI 2025.1.9
0090WaddahYaman,وضاح اليمن,Waddah Yaman,NULL,NULL,NULL,NULL,0090,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0090WaddahYaman,OpenITI 2025.1.9
0093IbnAbiRabica,عمر ابن أبي ربيعة,Ibn Abi Rabica,NULL,NULL,NULL,NULL,0093,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0093IbnAbiRabica,OpenITI 2025.1.9
0095CadiIbnRiqac,عدي بن الرقاع,Cadi Ibn Riqac,NULL,NULL,NULL,NULL,0095,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0095CadiIbnRiqac,OpenITI 2025.1.9
0104MujahidIbnJabr,مجاهد,Mujahid Ibn Jabr,NULL,NULL,NULL,NULL,0104,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0104MujahidIbnJabr,OpenITI 2025.1.9
0105AhwasAnsari,الأحوص,Ahwas Ansari,NULL,NULL,NULL,NULL,0105,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0105AhwasAnsari,OpenITI 2025.1.9
0105KuthayyirCazza,كثير عزة,Kuthayyir Cazza,NULL,NULL,NULL,NULL,0105,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0105KuthayyirCazza,OpenITI 2025.1.9
