work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0005Hadira.Diwan,ديوان الحادرة,Diwan,NULL,0005Hadira,الحادرة,Hadira,0005,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0007MaymunIbnQaysAcsha.Diwan,ديوان الأعشى,Diwan,NULL,0007MaymunIbnQaysAcsha,الأعشى,Maymun Ibn Qays Acsha,0007,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0011CamirIbnTufayl.Diwan,ديوان عامر بن الطفيل,Diwan,NULL,0011CamirIbnTufayl,عامر بن الطفيل,Camir Ibn Tufayl,0011,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0021CamrZubaydi.Diwan,ديوان عمرو بن معدي كرب,Diwan,NULL,0021CamrZubaydi,عمرو بن معدي كرب,Camr Zubaydi,0021,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0022ShammakhIbnDirar.Diwan,ديوان الشماخ بن ضرار,Diwan,NULL,0022ShammakhIbnDirar,الشماخ بن ضرار,Shammakh Ibn Dirar,0022,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0024TumadirBinCamrKhansa.Diwan,ديوان الخنساء,Diwan,NULL,0024TumadirBinCamrKhansa,الخنساء,Tumadir Bin Camr Khansa,0024,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0026KacbIbnZuhayr.Diwan,ديوان كعب بن زهير,Diwan,NULL,0026KacbIbnZuhayr,كعب بن زهير,Kacb Ibn Zuhayr,0026,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0030CurwaIbnHizam.Diwan,ديوان عروة بن حزام,Diwan,NULL,0030CurwaIbnHizam,عروة بن حزام,Curwa Ibn Hizam,0030,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0037IbnMuqbil.Diwan,ديوان ابن مقبل,Diwan,NULL,0037IbnMuqbil,ابن مقبل,Ibn Muqbil,0037,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0040CaliIbnAbiTalib.Diwan,ديوان علي بن أبي طالب,Diwan,NULL,0040CaliIbnAbiTalib,علي بن أبي طالب,Cali Ibn Abi Talib,0040,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
