duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0110HasanBasri.FadailMakka,0110HasanBasri.FadailMakka,Multiple OpenITI digital versions of one work,0110HasanBasri.FadailMakka.JK000644-ara1 | 0110HasanBasri.FadailMakka.Shamela0005722-ara1 | 0110HasanBasri.FadailMakka.Shia003454-ara1,3
openiti:0110IbnSirin.MuntakhabKalamFiTafsirAhlam,0110IbnSirin.MuntakhabKalamFiTafsirAhlam,Multiple OpenITI digital versions of one work,0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2 | 0110IbnSirin.MuntakhabKalamFiTafsirAhlam.ShamAY0034790-ara1 | 0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shamela0021615-ara1 | 0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shia004640Vols-ara1,4
openiti:0110JarirShacir.Diwan,0110JarirShacir.Diwan,Multiple OpenITI digital versions of one work,0110JarirShacir.Diwan.JK007549-ara1 | 0110JarirShacir.Diwan.Sham19Y0133412-ara1 | 0110JarirShacir.Diwan.ShamAY0037926-ara1,3
openiti:0117DhuRumma.Diwan,0117DhuRumma.Diwan,Multiple OpenITI digital versions of one work,0117DhuRumma.Diwan.JK007551-ara1 | 0117DhuRumma.Diwan.ShamAY0037932-ara1,2
openiti:0117IbnDicamaSadusi.NasikhWaMansukh,0117IbnDicamaSadusi.NasikhWaMansukh,Multiple OpenITI digital versions of one work,0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1 | 0117IbnDicamaSadusi.NasikhWaMansukh.Shamela0008491-ara1 | 0117IbnDicamaSadusi.NasikhWaMansukh.Shia002458-ara1,3
openiti:0122ZaydIbnCali.MansikHajj,0122ZaydIbnCali.MansikHajj,Multiple OpenITI digital versions of one work,0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1 | 0122ZaydIbnCali.MansikHajj.Zaydiyya0000269-ara1,2
openiti:0122ZaydIbnCali.Musnad,0122ZaydIbnCali.Musnad,Multiple OpenITI digital versions of one work,0122ZaydIbnCali.Musnad.Shia000811-ara1 | 0122ZaydIbnCali.Musnad.Zaydiyya0000052-ara1 | 0122ZaydIbnCali.Musnad.Zaydiyya0000056-ara2,3
openiti:0122ZaydIbnCali.TafsirGharibQuran,0122ZaydIbnCali.TafsirGharibQuran,Multiple OpenITI digital versions of one work,0122ZaydIbnCali.TafsirGharibQuran.Tafsir05089-ara1 | 0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1,2
openiti:0124IbnShihabZuhri.TanzilQuran,0124IbnShihabZuhri.TanzilQuran,Multiple OpenITI digital versions of one work,0124IbnShihabZuhri.TanzilQuran.JK000872-ara2 | 0124IbnShihabZuhri.TanzilQuran.ShamAY0034089-ara1 | 0124IbnShihabZuhri.TanzilQuran.Shamela0026887-ara1,3
openiti:0125NabighaShaybani.Diwan,0125NabighaShaybani.Diwan,Multiple OpenITI digital versions of one work,0125NabighaShaybani.Diwan.JK007548-ara1 | 0125NabighaShaybani.Diwan.ShamAY0037897-ara1,2
